ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364638,HY556588,12/31/2015 09:40:00 PM,030XX N LOTUS AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,true,false,2514,25,31,19,04A,1139509,1919625,2015,01/07/2016 16:14,41.93556106,-87.76271132,"(41.935561057, -87.762711319)"
10364645,HY556574,12/31/2015 09:40:00 PM,031XX W 38TH ST,2021,NARCOTICS,POSS: BARBITUATES,ALLEY,true,false,911,9,12,58,18,1156009,1879246,2015,01/07/2016 16:14,41.82443969,-87.70316201,"(41.824439694, -87.703162009)"
10364632,HY556567,12/31/2015 09:31:00 PM,075XX S ESSEX AVE,560,ASSAULT,SIMPLE,RESIDENCE,true,false,421,4,7,43,08A,1194174,1855429,2015,01/07/2016 16:14,41.75823092,-87.56393044,"(41.758230922, -87.563930441)"
10367764,HZ103869,12/31/2015 09:30:00 PM,039XX S LAKE PARK AVE,810,THEFT,OVER $500,RESIDENCE,false,false,214,2,4,36,6,1183388,1878984,2015,01/07/2016 16:14,41.82312577,-87.60272595,"(41.823125769, -87.602725951)"
10364965,HZ100432,12/31/2015 09:30:00 PM,049XX W LEXINGTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1533,15,24,25,14,1143683,1896167,2015,01/07/2016 16:14,41.87111244,-87.7479597,"(41.87111244, -87.747959695)"
10365007,HZ100498,12/31/2015 09:30:00 PM,085XX S KINGSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,423,4,7,46,14,1194649,1848775,2015,01/07/2016 16:14,41.73996015,-87.56240814,"(41.739960146, -87.562408141)"
10365209,HZ100828,12/31/2015 09:30:00 PM,028XX N LARAMIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2514,25,31,19,7,1141225,1918299,2015,01/07/2016 16:14,41.93189087,-87.75643762,"(41.931890865, -87.756437618)"
10371943,HZ107706,12/31/2015 09:30:00 PM,027XX W 65TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,831,8,15,66,26,1159374,1861420,2015,01/15/2016 11:08:45 AM,41.77545441,-87.69130528,"(41.775454414, -87.691305277)"
10366714,HZ101771,12/31/2015 09:30:00 PM,002XX N PULASKI RD,820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,1122,11,28,26,6,1149686,1901232,2015,01/07/2016 16:14,41.88489692,-87.72578864,"(41.884896917, -87.725788643)"
10366192,HZ102011,12/31/2015 09:30:00 PM,012XX N MILWAUKEE AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,WAREHOUSE,false,false,1433,14,1,24,26,1165295,1908492,2015,01/07/2016 16:14,41.90450135,-87.6682633,"(41.904501348, -87.668263297)"
